车名,车牌,类型,评分,最高价,最低价,总评数,差评词,差评词次数,总评前几,总评前几内容次数,好评词,好评词次数,手动耗油/L,自动耗油/L
奔奔EV,长安,微型车,4.81,144800,95800,4,后备厢空间小,3,"乘坐空间不错,外观时尚,外观比较时尚,后备厢空间小",20,"乘坐空间不错,外观时尚,外观比较时尚",17,12,12
江铃E200N,江铃集团新能源,微型车,4.75,93800,85800,21,"乘坐空间小,乘坐空间很一般",6,"前排座椅很舒服,乘坐空间很一般,乘坐空间小",9,前排座椅很舒服,3,,
EC系列,北汽新能源,微型车,4.75,61800,59800,4,"后备厢空间太小,悬架减震硬,底盘低",16,"乘坐空间不错,外观时尚,充电方便,后备厢空间太小,操控轻便,悬架减震硬,续航里程不错,中控屏灵敏,底盘低,味道大",63,"乘坐空间不错,外观时尚,充电方便",28,,
众泰E200,众泰,微型车,4.65,69900,69900,61,"悬架减震硬,后备厢空间有点小,悬架减震偏硬",45,"外观时尚,乘坐空间不错,安全配置挺好,悬架减震硬,转向手感很轻,乘坐空间完全够用,后备厢空间有点小,加速动力十足,操控灵活自如,底盘低",212,"外观时尚,乘坐空间不错,安全配置挺好",113,11.4,11.4
江铃E200L,江铃集团新能源,微型车,4.51,90800,82800,9,"充电速度太长了,续航里程短",6,"充电速度太长了,续航里程短,乘坐空间可以的",9,乘坐空间可以的,3,10,10
奇瑞eQ1,奇瑞,微型车,4.48,144100,134100,53,"悬架减震硬,安全带太软,内饰材质很差强人意",16,"外观很时尚,乘坐空间不错,后备厢空间大,中控屏够用,转向精准,操控性很棒,悬架减震硬,转向方便,内饰造型挺时尚,安全带太软",115,"外观很时尚,乘坐空间不错,中控屏够用",67,12.3,12.3
江淮iEV6E,江淮,微型车,4.46,158800,118500,80,"后备厢空间小,后排空间小,续航里程不行",33,"乘坐空间合适,外观漂亮,后备厢空间小,内饰造型比较满意,后排空间小,操控感非常好,转向手感很轻,转向打哪是哪,味道小,前排空间完全够了",122,"乘坐空间合适,外观漂亮,内饰造型比较满意",53,16.6,14.3
知豆D2,知豆,微型车,4.43,188800,49800,77,"隔音不好,悬架偏硬,充电速度短",15,"乘坐空间足够,外观可喜欢,后备厢空间蛮大,充电很方便,续航里程便宜,前排座椅舒适,内饰造型满意,转向灵活,隔音不好,起步动力很好",144,"乘坐空间足够,外观可喜欢,后备厢空间蛮大",90,13.5,13.5
宝骏E100,宝骏,微型车,4.38,109900,93900,8,,0,"乘坐空间够用,外观可喜欢,充电方便",20,"乘坐空间够用,外观可喜欢,充电方便",20,9.5,9.5
北斗星,铃木,微型车,4.35,57900,39900,51,,0,"乘坐空间足够,油耗满意",12,"乘坐空间足够,油耗满意",12,6.4,6.4
奔奔,长安,微型车,4.26,56900,40900,241,"后备厢空间小,大灯不太亮,隔音差",60,"乘坐空间够用,油耗满意,外观漂亮,安全配置很实用,后备厢空间小,大灯不太亮,隔音差,转向手感很轻,后排空间大,发动机噪音有点大",410,"乘坐空间够用,油耗满意,外观漂亮",246,6.4,7
北斗星X5,铃木,微型车,4.25,51900,46900,87,"后排空间小,悬架减震硬,胎噪还好",22,"乘坐空间不错,油耗满意,外观漂亮,后备厢空间大,后排空间小,悬架减震硬,操控比较灵活,中控台造型过得去,转向手感很轻,后排座椅调节方便",210,"乘坐空间不错,油耗满意,外观漂亮",157,6.3,6.2
smart fortwo,smart,微型车,4.18,217888,116800,13,悬架减震硬,4,"乘坐空间不拥挤,油耗满意,外观漂亮,悬架减震硬,后备厢空间大,转向手感很轻,安全配置齐全",36,"油耗满意,乘坐空间不拥挤,外观漂亮",23,5.5,5.8
奇瑞QQ,奇瑞,微型车,4.07,50900,37900,402,"后备厢空间太小,隔音不好,发动机噪音难听",62,"油耗满意,外观漂亮,后备厢空间太小,头部空间大,隔音不好,前排空间很大,后排空间大,保养费用便宜,发动机噪音难听,风噪",273,"油耗满意,外观漂亮,头部空间大",174,6,6
奥拓,铃木,微型车,4,59900,41800,1009,"隔音不好,车子配置太低,悬架减震偏硬",102,"外观漂亮,隔音不好,保养费用便宜,操控自如,车子配置太低,悬架减震偏硬,前排空间大,味道太重,储物空间小,喇叭不行",307,"外观漂亮,保养费用便宜,操控自如",138,5.4,6.6
比亚迪F0,比亚迪,微型车,3.88,47900,37900,153,"悬架减震硬,隔音不好,发动机噪音实在是大",37,"油耗满意,外观漂亮,乘坐空间够用,悬架减震硬,前排空间大,隔音不好,发动机噪音实在是大,后排空间不足,转向手感很轻,保养费用很便宜",160,"油耗满意,外观漂亮,乘坐空间够用",90,5.9,6.4
名爵3,名爵,小型车,4.69,93800,59800,15,,0,"乘坐空间够用,外观短小精干,油耗满意,车头真好看,车子配置可以接受,后备厢空间够用,后排空间大,内饰造型比较简洁,转向手感轻松,底盘悬架很扎实",58,"乘坐空间够用,外观短小精干,油耗满意",27,6.6,7
威驰FS,丰田,小型车,4.67,109800,69800,793,"隔音不好,悬架减震比较硬,后备厢空间有些小",346,"油耗满意,乘坐空间不错,外观时尚,安全配置齐全,转向很精准,转向手感很轻,隔音不好,操控性能非常不错,悬架减震比较硬,后备厢空间有些小",2599,"油耗满意,乘坐空间不错,外观时尚",1539,6.3,6.2
威驰,丰田,小型车,4.63,113800,69800,1823,"隔音不好,悬架减震比较硬,胎噪有点大",744,"油耗满意,乘坐空间够用,外观时尚,后备厢空间很大,安全配置,转向手感很轻,隔音不好,悬架减震比较硬,转向精准,后排空间大",5788,"油耗满意,乘坐空间够用,外观时尚",3366,6.1,5.8
悦纳,现代,小型车,4.63,105800,72800,586,"悬架减震有点硬,胎噪有点大,起步动力有点肉",169,"油耗满意,乘坐空间不错,外观漂亮,悬架减震有点硬,后备厢空间很大,转向手感很轻,后排空间大,转向精准,内饰造型满意,操控轻松",1603,"油耗满意,乘坐空间不错,外观漂亮",1036,6,6.7
瑞纳,现代,小型车,4.62,73900,49900,131,"隔音不好,胎噪较大,起步动力肉",37,"油耗满意,外观漂亮,乘坐空间够用,后备厢空间很大,味道比较小,隔音不好,内饰造型挺满意,后排空间没有压抑感,转向灵活,操控特别灵活",346,"油耗满意,外观漂亮,乘坐空间够用",222,5.7,6.2
焕驰,起亚,小型车,4.58,73900,49900,81,"悬架减震有点硬,隔音差,胎噪明显",41,"油耗满意,乘坐空间够用,后备厢空间够用,外观可喜欢,悬架减震有点硬,隔音差,转向手感很轻,转向精准,高速油耗满意,后排空间够用",236,"油耗满意,乘坐空间够用,后备厢空间够用",135,6,7.3
YARiS L 致享,丰田,小型车,4.57,106800,69800,578,"隔音不好,外漆面太薄了,胎噪有点大",225,"油耗满意,乘坐空间够用,后备厢空间大,安全配置齐全,外观漂亮,隔音不好,外漆面太薄了,转向手感很轻,胎噪有点大,转向精准",1676,"油耗满意,乘坐空间够用,后备厢空间大",991,5.7,6.5
悦翔,长安,小型车,4.51,65900,49900,65,,0,"油耗满意,乘坐空间还不错,转向手感好看,外观时尚",27,"油耗满意,乘坐空间还不错,转向手感好看",24,7,6.5
赛欧,雪佛兰,小型车,4.43,79900,63900,96,"悬架减震太硬,胎噪太大,底盘低",32,"油耗满意,乘坐空间够用,外观漂亮,后备厢空间很大,转向手感很轻,转向比较精准,车子配置挺高,操控自如,悬架减震太硬,胎噪太大",293,"油耗满意,乘坐空间够用,外观漂亮",179,5.6,6.6
江淮iEV,江淮,小型车,4.4,158500,128500,6,,0,电耗合理,3,电耗合理,3,13,12.8
奥迪A1,奥迪,小型车,4.38,218500,189800,11,,0,"外观精致,油耗可以接受",13,"外观精致,油耗可以接受",13,6,6
宝骏310,宝骏,小型车,4.36,60800,36800,860,"后备厢空间小,底盘低,外漆面有点薄",383,"油耗满意,乘坐空间不错,外观时尚,功能配置齐全,后备厢空间小,底盘低,转向手感很轻,后排空间大,内饰造型很满意,外漆面有点薄",2522,"油耗满意,乘坐空间不错,外观时尚",1461,5.4,6.3
YARiS L 致炫,丰田,小型车,4.33,104800,69800,449,"隔音不好,悬架减震偏硬,储物空间少",198,"乘坐空间不错,油耗满意,安全配置丰富,隔音不好,外观时尚,后备厢空间够用,后排空间大,悬架减震偏硬,转向精准,储物空间少",1176,"乘坐空间不错,油耗满意,安全配置丰富",727,5.8,6.2
玛驰,日产,小型车,4.31,87500,59800,23,隔音差,3,"乘坐空间无压力,油耗满意,外观漂亮,隔音差",17,"乘坐空间无压力,油耗满意,外观漂亮",14,5,5.4
MINI CLUBMAN,MINI,小型车,4.3,419000,239800,35,"外漆面偏软,悬架减震很硬,防爆胎坑",17,"乘坐空间很ok,外观不错,油耗满意,外漆面偏软,悬架减震很硬,防爆胎坑,内饰造型精致,转向精准,路感反馈很强,氛围灯很好",63,"乘坐空间很ok,外观不错,油耗满意",31,8.2,9.4
KX CROSS,起亚,小型车,4.3,90900,74900,149,"味道大,悬架偏硬,起步动力肉",63,"外观漂亮,乘坐空间不错,油耗满意,安全配置齐全,转向手感很轻,味道大,悬架偏硬,转向精准,后备厢空间挺大,起步动力肉",483,"外观漂亮,乘坐空间不错,油耗满意",267,6.2,7.1
名爵3SW,名爵,小型车,4.26,87700,87700,34,"油耗不算低,悬架减震偏硬,后备厢空间小",17,"乘坐空间不错,外观时尚,油耗不算低,悬架减震偏硬,后备厢空间小,胎噪略大",45,"乘坐空间不错,外观时尚",24,8.9,8.9
