公司名称,公司编号,公司规模,公司类型,工作城市,工作路段,学历需求,招募类型,工作/福利,工作类型,福利
杭州时至信息技术有限公司,CZ291000080,20人以下,民营,杭州-西湖区,古墩路,大专,全职,"docker,Java,Python,GO,爬虫,云计算,每年多次调薪,五险一金,绩效奖金,股票期权,带薪年假,弹性工作,员工旅游","软件/互联网开发/系统集成,互联网软件工程师","每年多次调薪,五险一金,绩效奖金,股票期权,带薪年假"
深圳市昊微科技有限公司,CZ642828880,不限,民营,深圳,西乡,大专,全职,"每年多次调薪,全勤奖,加班补助,绩效奖金,带薪年假,员工旅游,餐补","软件/互联网开发/系统集成,软件工程师","每年多次调薪,全勤奖,加班补助,绩效奖金,带薪年假"
寿光市志旺网络科技有限公司,CZ620342580,100-499人,民营,深圳-南山区,后海,不限,全职,"年底双薪,绩效奖金,年终分红,全勤奖","软件/互联网开发/系统集成,软件工程师","年底双薪,绩效奖金,年终分红,全勤奖"
深圳市指昂科技有限公司,CZ238398210,20-99人,民营,深圳,西丽,本科,全职,"五险一金,周末双休,年底双薪,绩效奖金,全勤奖,每年多次调薪","软件/互联网开发/系统集成,软件工程师","五险一金,周末双休,年底双薪,绩效奖金,全勤奖"
寿光市志旺网络科技有限公司,CZ620342580,100-499人,民营,深圳-南山区,后海,大专,全职,"年底双薪,绩效奖金,年终分红,全勤奖","软件/互联网开发/系统集成,软件工程师","年底双薪,绩效奖金,年终分红,全勤奖"
深圳市创富港商务服务股份有限公司,CZ237101810,500-999人,股份制企业,深圳-福田区,上步,大专,全职,"C#/.NET,五险一金,绩效奖金,股票期权,通讯补助,带薪年假,员工旅游,节日福利","软件/互联网开发/系统集成,软件工程师","五险一金,绩效奖金,股票期权,通讯补助,带薪年假"
杭州爱科科技股份有限公司,CZ140472210,100-499人,民营,杭州-滨江区,浦沿,硕士,全职,"五险一金,年底双薪,节日福利,员工旅游,定期体检,交通补助,餐补,带薪年假","软件/互联网开发/系统集成,软件研发工程师","五险一金,年底双薪,节日福利,员工旅游,定期体检"
首都信息发展股份有限公司,CZ000103760,1000-9999人,国企,北京,东四,本科,全职,,"软件/互联网开发/系统集成,软件工程师",
沈阳新松机器人自动化股份有限公司,CZ121051590,1000-9999人,股份制企业,沈阳,五三,本科,全职,,"软件/互联网开发/系统集成,软件工程师",
福建顶点软件股份有限公司,CZ000212300,500-999人,股份制企业,福州,五凤,本科,全职,"五险一金,年底双薪,餐补,带薪年假,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,高级软件工程师","五险一金,年底双薪,餐补,带薪年假,定期体检"
浪潮集团有限公司,CZ120143600,10000人以上,国企,济南,解放东路,本科,全职,"五险一金,绩效奖金,股票期权,带薪年假,员工旅游,节日福利,定期体检","软件/互联网开发/系统集成,软件研发工程师","五险一金,绩效奖金,股票期权,带薪年假,员工旅游"
中国电力科学研究院有限公司,CZ581383830,1000-9999人,国企,北京-海淀区,清河,本科,全职,"算法,Python,知识图谱,文本分类,文本比对,深度学习,五险一金,绩效奖金,通讯补助,节日福利,带薪年假,免费班车","软件/互联网开发/系统集成,算法工程师","五险一金,绩效奖金,通讯补助,节日福利,带薪年假"
苏州莫克信息科技有限公司,CZ270799380,20人以下,其它,苏州,独墅湖,本科,全职,"创业公司,五险一金,弹性工作,年底双薪,补充医疗保险,节日福利","软件/互联网开发/系统集成,软件工程师","创业公司,五险一金,弹性工作,年底双薪,补充医疗保险"
四川醉美南红文化传播有限公司,CZ839131870,20-99人,民营,成都-高新区,桂溪,大专,全职,"全勤奖,带薪年假,弹性工作,绩效奖金,员工旅游,生日福利","软件/互联网开发/系统集成,软件工程师","全勤奖,带薪年假,弹性工作,绩效奖金,员工旅游"
江苏号百信息服务有限公司,CZ160261810,100-499人,国企,南京,玄武湖,本科,全职,"周末双休,五险一金,绩效奖金,交通补助,餐补,通讯补助,节日福利,定期体检","软件/互联网开发/系统集成,软件研发工程师","周末双休,五险一金,绩效奖金,交通补助,餐补"
浪潮集团有限公司,CZ120143600,10000人以上,国企,济南-高新区,解放东路,本科,全职,"五险一金,绩效奖金,股票期权,加班补助,带薪年假,定期体检,出国游,补充医疗保险","软件/互联网开发/系统集成,系统架构设计师","五险一金,绩效奖金,股票期权,加班补助,带薪年假"
天九共享控股集团,CZ475537510,1000-9999人,民营,北京-朝阳区,北苑,本科,全职,,"软件/互联网开发/系统集成,高级软件工程师",
浪潮集团有限公司,CZ120143600,10000人以上,国企,济南,经十西路,本科,全职,,"软件/互联网开发/系统集成,数据库开发工程师",
合肥辰工科技有限公司,CZ198806720,20-99人,民营,合肥,海关路,本科,全职,"C#/.NET,年底双薪,绩效奖金,加班补助,全勤奖,餐补,高温补贴,节日福利,带薪年假","软件/互联网开发/系统集成,高级软件工程师","年底双薪,绩效奖金,加班补助,全勤奖,餐补"
威斯盾物联网科技(无锡)有限公司,CZ843099180,20-99人,民营,无锡,华庄,大专,全职,"五险一金,绩效奖金,加班补助,包住,交通补助,通讯补助,周末双休,带薪年假","软件/互联网开发/系统集成,PHP开发工程师","五险一金,绩效奖金,加班补助,包住,交通补助"
中泰证券股份有限公司,CZ120752050,1000-9999人,国企,上海,陆家嘴,硕士,全职,"C#/.NET,VC,数据库,Linux,金融衍生品,周末双休,五险一金,节日福利,定期体检,各类基本补助,绩效奖金,带薪年假,大牛带队","软件/互联网开发/系统集成,软件研发工程师","周末双休,五险一金,节日福利,定期体检,各类基本补助"
长沙鹏翔电子科技有限公司,CZ298153410,20-99人,不限,长沙-岳麓区,麓谷,本科,全职,"C++,创业公司,绩效奖金,全勤奖,带薪年假,员工旅游,节日福利","软件/互联网开发/系统集成,高级软件工程师","创业公司,绩效奖金,全勤奖,带薪年假,员工旅游"
威斯盾物联网科技(无锡)有限公司,CZ843099180,20-99人,民营,无锡,华庄,本科,全职,"五险一金,绩效奖金,加班补助,包住,交通补助,通讯补助,周末双休,带薪年假","软件/互联网开发/系统集成,软件工程师","五险一金,绩效奖金,加班补助,包住,交通补助"
南京新联电子股份有限公司,CZ243990010,500-999人,上市公司,南京,百家湖,本科,全职,"五险一金,绩效奖金,包吃,带薪年假,高温补贴,节日福利","软件/互联网开发/系统集成,软件工程师","五险一金,绩效奖金,包吃,带薪年假,高温补贴"
天九共享控股集团,CZ475537510,1000-9999人,民营,北京-朝阳区,北苑,本科,全职,,"软件/互联网开发/系统集成,高级软件工程师",
北京凯博瑞石油科技有限公司,CZ160817020,20-99人,民营,西安-未央区,张家堡,大专,全职,"年底双薪,五险一金,带薪年假,定期体检,周末双休,餐补,加班补助","软件/互联网开发/系统集成,软件研发工程师","年底双薪,五险一金,带薪年假,定期体检,周末双休"
上海一颗种子网络科技有限公司,CZ727144380,20人以下,民营,上海,漕河泾,本科,全职,"弹性工作,带薪年假,餐补,交通补助,年底双薪,五险一金,员工旅游,绩效奖金","软件/互联网开发/系统集成,游戏设计/开发","弹性工作,带薪年假,餐补,交通补助,年底双薪"
纳通医疗集团,CZ120362050,1000-9999人,民营,北京,西北旺,硕士,全职,"C,C++,图像处理,算法,五险一金,年底双薪,带薪年假,补充医疗保险,定期体检,节日福利,周末双休,公司重点项目","软件/互联网开发/系统集成,软件研发工程师","五险一金,年底双薪,带薪年假,补充医疗保险,定期体检"
甘肃美联文化信息科技有限公司,CZ420048330,20-99人,民营,兰州,雁滩,大专,全职,,"软件/互联网开发/系统集成,软件工程师",
南京链宇智能科技有限公司,CZ697762580,20人以下,民营,南京,南大,本科,全职,"C++,图像处理,机器学习,数据挖掘,区块链,每年多次调薪,五险一金","软件/互联网开发/系统集成,软件工程师","每年多次调薪,五险一金"
上海寺冈电子有限公司,CZ000100000,100-499人,外商独资,上海-徐汇区,龙华,本科,全职,"五险一金,年底双薪,绩效奖金,交通补助,餐补,房补,带薪年假,节日福利","软件/互联网开发/系统集成,高级软件工程师","五险一金,年底双薪,绩效奖金,交通补助,餐补"
河南广播传媒集团有限公司,CZ314334410,20-99人,国企,郑州,经五路,大专,全职,"loadrunner ,jmeter ,Selenium ,测试 ,五险一金,绩效奖金,餐补,带薪年假,定期体检,不加班,节日福利,周末双休","软件/互联网开发/系统集成,其他","五险一金,绩效奖金,餐补,带薪年假,定期体检"
福建顶点软件股份有限公司,CZ000212300,500-999人,股份制企业,福州-鼓楼区,五凤,本科,全职,"五险一金,餐补,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,软件研发工程师","五险一金,餐补,定期体检,员工旅游,节日福利"
北京友通上昊科技有限公司,CZ206646210,100-499人,合资,北京,马驹桥,本科,全职,"C#/.NET,数据库,WPF,五险一金,周末双休,员工旅游,带薪年假,交通补助,定期体检,节日福利,试用期全额","软件/互联网开发/系统集成,高级软件工程师","五险一金,周末双休,员工旅游,带薪年假,交通补助"
济南海息信息科技有限公司,CZ701214520,20-99人,股份制企业,济南,长途汽车站,大专,全职,"每年多次调薪,五险一金,绩效奖金,加班补助,全勤奖,弹性工作,节日福利","软件/互联网开发/系统集成,软件工程师","每年多次调薪,五险一金,绩效奖金,加班补助,全勤奖"
河南省炽天使网络技术有限公司,CZ383594980,500-999人,股份制企业,郑州,新城,大专,全职,"五险一金,年底双薪,弹性工作,每年多次调薪,包住,加班补助,全勤奖,员工旅游","软件/互联网开发/系统集成,系统架构设计师","五险一金,年底双薪,弹性工作,每年多次调薪,包住"
天九共享控股集团,CZ475537510,1000-9999人,民营,北京-朝阳区,北苑,本科,全职,"健身俱乐部,五险一金,绩效奖金,包吃,带薪年假,定期体检,员工旅游,节日福利","软件/互联网开发/系统集成,软件工程师","健身俱乐部,五险一金,绩效奖金,包吃,带薪年假"
内蒙古科电数据服务有限公司,CZ343938110,500-999人,股份制企业,呼和浩特,未添加路段,本科,全职,"五险一金,每年多次调薪,餐补,节日福利,带薪年假","软件/互联网开发/系统集成,软件研发工程师","五险一金,每年多次调薪,餐补,节日福利,带薪年假"
中泰证券股份有限公司,CZ120752050,1000-9999人,国企,上海,陆家嘴,本科,全职,"C++,周末双休,五险一金,交通补助,餐补,通讯补助,节日福利,高温补贴,定期体检","软件/互联网开发/系统集成,软件研发工程师","周末双休,五险一金,交通补助,餐补,通讯补助"
